vulnerability_id,file_path,cwe_id,fix_commit_hash,fix_commit_message,original_commit_message,vulnerability_type,created_at,repository
commit-ffee6bceb32eba159a7a25a4613d573884a6a58d,airflow/www/static/js/types/api-generated.ts,CWE-502,41e48aaf4dbec24c924a03198b224a0b81c432d4,Move the deserialization of custom XCom Backend to 2.4.0 (#26392),Flag to deserialize value on custom XCom backend (#26343),deserialization,2025-05-14 22:44:20,airflow_security_analysis
commit-f6bda38e20c721df12e0cc88a27119fe320f2a42,tests/system/providers/amazon/aws/example_rds_export.py,CWE-362,5d5482ea2af7d240c5844d5bc48259d3e5088b85,Adds a wait to prevent a race condition (#25967),Convert RDS Export Sample DAG to System Test (AIP-47) (#25205) * Convert RDS Export Sample DAG to System Test * PR Fixes,racescondition,2025-05-14 22:44:20,airflow_security_analysis
commit-2192010ee3acda045e266981b8d5e58e6ec6fb13,airflow/models/dagbag.py,CWE-362,b9eb51a0fb32cd660a5459d73d7323865b34dd99,Fix race condition when using Dynamic DAGs (#13893),Retry Dagbag.sync_to_db to avoid Deadlocks (#12046) Previously we added Retry in DagFileProcessor.process_file to retry dagbag.sync_to_db. However; this meant that if anyone calls dagbag.sync_to_db separately then also need to manage retrying it by themselves. This caused failures in CI for MySQL. resolves https://github.com/apache/airflow/issues/11543,racescondition,2025-05-14 22:44:47,airflow_security_analysis
commit-ff990f245eefd24f1a9a16d2b1712103554f870f,airflow/cli/cli_parser.py,CWE-362,f1d4f54b3479cd7549ce79efadd25cc6859dd420,Fix race conditions in task callback invocations (#10917),Add capability to specify gunicorn access log format (#10261),racescondition,2025-05-14 22:44:48,airflow_security_analysis
commit-fb00c687b69999108a6ac621d603589490edbdda,airflow/jobs/backfill_job.py,CWE-362,f1d4f54b3479cd7549ce79efadd25cc6859dd420,Fix race conditions in task callback invocations (#10917),[AIRFLOW-6590] Use batch db operations in jobs (#7370) * [AIRFLOW-6590] Use batch db operations in jobs The PR changes numerous single selects / updates in base; scheduler; and backfill jobs to bulk operations. * fixup! [AIRFLOW-6590] Use batch db operations in jobs * fixup! fixup! [AIRFLOW-6590] Use batch db operations in jobs,racescondition,2025-05-14 22:44:48,airflow_security_analysis
commit-fa1bc879ee0bdcfd8d2ed22cbdc8a114a903486f,airflow/models/dag.py,CWE-362,f1d4f54b3479cd7549ce79efadd25cc6859dd420,Fix race conditions in task callback invocations (#10917),[AIRFLOW-4307] Backfill respects concurrency limit (#5128) Airflow backfill should respect DAG concurrency limit.,racescondition,2025-05-14 22:44:49,airflow_security_analysis
commit-f69aa14a021a6160ecdb75678fd40cf00a404525,airflow/task/task_runner/standard_task_runner.py,CWE-362,f1d4f54b3479cd7549ce79efadd25cc6859dd420,Fix race conditions in task callback invocations (#10917),"[AIRFLOW-5931] Use os.fork when appropriate to speed up task execution. (#6627) * [AIRFLOW-5931] Use os.fork when appropriate to speed up task execution.   Rather than running a fresh python interpreter which then has to re-load   all of Airflow and its dependencies we should use os.fork when it is   available/suitable which should speed up task running; espeically for   short lived tasks.   I've profiled this and it took the task duration (as measured by the   `duration` column in the TI table) from an average of 14.063s down to   just 0.932s! * Allow `reap_process_group` to kill processes even when the ""group leader"" has already exited. * Don't re-initialize JSON/stdout logging ElasticSearch inside forked processes   Most of the time we will run the ""raw"" task in a forked subprocess (the   only time we don't is when we use impersonation) that will have the   logging already configured. So if the EsTaskHandler has already been   configured we don't want to ""re""configure it -- otherwise it will   disable JSON output for the actual task!",racescondition,2025-05-14 22:44:50,airflow_security_analysis
commit-74c613bf473717f5665f89db3ddcaafb362a4392,tests/core/test_core.py,CWE-362,f1d4f54b3479cd7549ce79efadd25cc6859dd420,Fix race conditions in task callback invocations (#10917),[AIRFLOW-843] Exception availabe in context for on_failure_callback (#2135) Store exceptions encountered executing a task in the context dict; making it available for on_failure_callback handlers.,racescondition,2025-05-14 22:44:51,airflow_security_analysis
commit-f6734b3b850d33d3712763f93c114e80f5af9ffb,docs/spelling_wordlist.txt,CWE-502,1623df8721105f7f8d219741b066b277d8c43cf0,Use different deserialization method in XCom init_on_load (#12327),Enable Sphinx spellcheck for doc generation (#10280),deserialization,2025-05-14 22:44:55,airflow_security_analysis
commit-e9ab9d6a92256a42607c12630fe89368f3316b1c,airflow/www/decorators.py,CWE-352,7431867ac0525434e3c537e9514a33b4fa00a6be,"Exclude CSRF tokens in Log's attribute ""extra"" in database (#10640)",[AIRFLOW-5444] Fix action_logging so that request.form for POST is logged (#6064) Log request.values so both GET and POST are properly logged,CSRFcross-ssitesrequestsforgery,2025-05-14 22:44:58,airflow_security_analysis
commit-9b33f9b8ec0705f354df039abf37686baeeea679,airflow/kubernetes/worker_configuration.py,CWE-732,2bf4fe3bc8a9c522d1a1df521f8f502e576a7ccc,[AIRFLOW-4845] Fix bug where runAsUser 0 doesn't get set in k8s security context (#5474),[AIRFLOW-3274] Add run_as_user and fs_group options for Kubernetes (#4648),,2025-05-14 22:45:19,airflow_security_analysis
commit-e8c1144bb86e9a1f8b0195375185e9418f23f0c5,airflow/executors/base_executor.py,CWE-362,8f15661001706e5bd76a7134c4c8ece06ad83a63,[AIRFLOW-3136] Add retry_number to TaskInstance.key to avoid race condition (#3994),"Add consistent and thorough signal handling and logging Airflow spawns childs in the form of a webserver; scheduler; and executors. If the parent gets terminated (SIGTERM) it needs to properly propagate the signals to the childs otherwise these will get orphaned and end up as zombie processes. This patch resolves that issue. In addition Airflow does not store the PID of its services so they can be managed by traditional unix systems services like rc.d / upstart / systemd and the likes. This patch adds the ""--pid"" flag. By default it stores the PID in ~/airflow/airflow-<service>.pid Lastly; the patch adds support for different log file locations: log; stdout; and stderr (respectively: --log-file; --stdout; --stderr). By default these are stored in ~/airflow/airflow-<service>.log/out/err. * Resolves ISSUE-852",racescondition,2025-05-14 22:45:30,airflow_security_analysis
commit-ffec381099cc0852b0f01237103abe5124205a3b,airflow/models.py,CWE-362,8f15661001706e5bd76a7134c4c8ece06ad83a63,[AIRFLOW-3136] Add retry_number to TaskInstance.key to avoid race condition (#3994),[AIRFLOW-897] Prevent dagruns from failing with unfinished tasks Closes #2099 from aoen/ddavydov/fix_premature_dagrun_failures,racescondition,2025-05-14 22:45:31,airflow_security_analysis
commit-5a7f0b2e5333c936b39cdec06315d109ccf96934,airflow/www_rbac/templates/appbuilder/baselayout.html,CWE-352,27bab21f0dabbb08c7ea5d9021fae0513cc4902d,[AIRFLOW-2866] Fix missing CSRF token head when using RBAC UI (#3804),[AIRFLOW-2691] Manage JS dependencies via npm Closes #3572 from verdan/AIRFLOW-2691-npm-webpack,CSRFcross-ssitesrequestsforgery,2025-05-14 22:45:36,airflow_security_analysis
commit-cbe7955d7e0dd352829f71e762026f4044a05a7d,airflow/www_rbac/webpack.config.js,CWE-352,27bab21f0dabbb08c7ea5d9021fae0513cc4902d,[AIRFLOW-2866] Fix missing CSRF token head when using RBAC UI (#3804),[AIRFLOW-2874] Enables FAB's theme support (#3719),CSRFcross-ssitesrequestsforgery,2025-05-14 22:45:36,airflow_security_analysis
commit-ee98513f5a7a29edeb7d2f0cecbfe98097107a77,airflow/www/views.py,CWE-502,a27bd620d97950773c7732908eb3c597315fdd0e,[AIRFLOW-2160] Fix bad rowid deserialization,Adding task instance state change to view.,deserialization,2025-05-14 22:45:57,airflow_security_analysis
commit-9c60b1917b314e7d0fbdd0433bc4ee9051981fac,airflow/www/app.py,CWE-352,cac49e6eab6e107c838705f43418afcde5a82be4,[AIRFLOW-1231] Use flask_wtf.CSRFProtect,Implement ldap authentication with tests,CSRFcross-ssitesrequestsforgery,2025-05-14 22:45:58,airflow_security_analysis
commit-fdb7e949140b735b8554ae5b22ad752e86f6ebaf,setup.py,CWE-352,ae61987945774ea2f9df53eaedac87fb378234a4,[AIRFLOW-1180] Fix flask-wtf version for test_csrf_rejection,[AIRFLOW-160] Parse DAG files through child processes Instead of parsing the DAG definition files in the same process as the scheduler; this change parses the files in a child process. This helps to isolate the scheduler from bad user code. Closes #1636 from plypaul/plypaul_schedule_by_file_rebase_master,CSRFcross-ssitesrequestsforgery,2025-05-14 22:45:58,airflow_security_analysis
commit-e2e4d3967a9706c159e6d15b11cadcb98ad0ba27,scripts/ci/requirements.txt,CWE-362,eb705fd55c30cea778282140d927f51b4a649c73,[AIRFLOW-719] Fix race condition in ShortCircuit; Branch and LatestOnly,Adding missing dependency,racescondition,2025-05-14 22:46:01,airflow_security_analysis
commit-edf033be65b575f44aa221d5d0ec9ecb6b32c67a,tests/operators/latest_only_operator.py,CWE-362,eb705fd55c30cea778282140d927f51b4a649c73,[AIRFLOW-719] Fix race condition in ShortCircuit; Branch and LatestOnly,[AIRFLOW-198] Implement latest_only_operator Dear Airflow Maintainers; Please accept this PR that addresses the following issues: - https://issues.apache.org/jira/browse/AIRFLOW-198 Testing Done: - Local testing of dag operation with LatestOnlyOperator - Unit test added Closes #1752 from gwax/latest_only,racescondition,2025-05-14 22:46:01,airflow_security_analysis
commit-f360414774f1ecb2e0f4e53ebdd623c7435f9a78,airflow/www/templates/airflow/dag.html,CWE-352,6aca2c2d395952341ab1b201c59011920b5a5c77,[AIRFLOW-836] Use POST and CSRF for state changing endpoints,"[AIRFLOW-149] Task Dependency Engine + Why Isn't My Task Running View Here is the original PR with Max's LGTM: https://github.com/aoen/incubator-airflow/pull/1 Since then I have made some fixes but this PR is essentially the same. It could definitely use more eyes as there are likely still issues. **Goals** - Simplify; consolidate; and make consistent the logic of whether or not   a task should be run - Provide a view/better logging that gives insight into why a task   instance is not currently running (no more viewing the scheduler logs   to find out why a task instance isn't running for the majority of   cases): ![image](https://cloud.githubusercontent.com/assets/1592778/17637621/aa669f5e-6099-11e6-81c2-d988d2073aac.png) **Notable Functional Changes** - Webserver view + task_failing_deps CLI command to explain why a given   task instance isn't being run by the scheduler - Running a backfill in the command line and running a task in the UI   will now display detailed error messages based on which dependencies   were not met for a task instead of appearing to succeed but actually   failing silently - Maximum task concurrency and pools are not respected by backfills - Backfill now has the equivalent of the old force flag to run even for   successful tasks   This will break one use case:   Using pools to restrict some resource on airflow executors themselves   (rather than an external resource like a DB); e.g. some task uses 60%   of cpu on a worker so we restrict that task's pool size to 1 to   prevent two of the tasks from running on the same host. When   backfilling a task of this type; now the backfill will wait on the   pool to have slots open up before running the task even though we   don't need to do this if backfilling on a different host outside of   the pool. I think breaking this use case is OK since the use case is a   hack due to not having a proper resource isolation solution (e.g.   mesos should be used in this case instead). - To make things less confusing for users; there is now a ""ignore all   dependencies"" option for running tasks; ""ignore dependencies"" has been   renamed to ""ignore task dependencies""; and ""force"" has been renamed to   ""ignore task instance state"". The new ""Ignore all dependencies"" flag   will ignore the following:   - task instance's pool being full   - execution date for a task instance being in the future   - a task instance being in the retry waiting period   - the task instance's task ending prior to the task instance's     execution date   - task instance is already queued   - task instance has already completed   - task instance is in the shutdown state   - WILL NOT IGNORE task instance is already running - SLA miss emails will now include all tasks that did not finish for a   particular DAG run; even if   the tasks didn't run because depends_on_past was not met for a task - Tasks with pools won't get queued automatically the first time they   reach a worker; if they are ready to run they will be run immediately - Running a task via the UI or via the command line (backfill/run   commands) will now log why a task could not get run if one if it's   dependencies isn't met. For tasks kicked off via the web UI this   means that tasks don't silently fail to get queued despite a   successful message in the UI. - Queuing a task into a pool that doesn't exist will now get stopped in   the scheduler instead of a worker **Follow Up Items** - Update the docs to reference the new explainer views/CLI command Closes #1729 from aoen/ddavydov/blockedTIExplainerRebasedMaster",CSRFcross-ssitesrequestsforgery,2025-05-14 22:46:04,airflow_security_analysis
commit-e3cd7eda12c1917acadde6e7763b4b10cd99afea,airflow/www/templates/airflow/dags.html,CWE-352,6aca2c2d395952341ab1b201c59011920b5a5c77,[AIRFLOW-836] Use POST and CSRF for state changing endpoints,Using the dagbag to create the view instead of the Flask Admin,CSRFcross-ssitesrequestsforgery,2025-05-14 22:46:04,airflow_security_analysis
commit-edd6cf51192a32978963f730eb50fc5372d1f221,airflow/www/templates/airflow/gantt.html,CWE-352,48480f2351db1a9f5684fff4c3dbc5a95510f07f,Merge pull request #611 from bolkedebruin/csrf,Making AUTHENTICATE optional,CSRFcross-ssitesrequestsforgery,2025-05-14 22:46:32,airflow_security_analysis
commit-e86dd7212aa8e588ac43f2110f9e829fbf0ef802,airflow/www/templates/airflow/graph.html,CWE-352,48480f2351db1a9f5684fff4c3dbc5a95510f07f,Merge pull request #611 from bolkedebruin/csrf,error -> failed,CSRFcross-ssitesrequestsforgery,2025-05-14 22:46:32,airflow_security_analysis
commit-103f6510dac8bdd5c07b354ae90bc6b9ecda383c,airflow/www/templates/airflow/login.html,CWE-352,48480f2351db1a9f5684fff4c3dbc5a95510f07f,Merge pull request #611 from bolkedebruin/csrf,Initial support for kerberos logins; needs cleanup,CSRFcross-ssitesrequestsforgery,2025-05-14 22:46:32,airflow_security_analysis
commit-d760a5c76fdf3e75ccee8378bedd70c1a3e355be,airflow/www/templates/airflow/task_instance.html,CWE-352,48480f2351db1a9f5684fff4c3dbc5a95510f07f,Merge pull request #611 from bolkedebruin/csrf,Minor CSS fix,CSRFcross-ssitesrequestsforgery,2025-05-14 22:46:33,airflow_security_analysis
commit-e491dab9a5c9df09165e0e28fb1babae9990d873,airflow/www/templates/airflow/tree.html,CWE-352,48480f2351db1a9f5684fff4c3dbc5a95510f07f,Merge pull request #611 from bolkedebruin/csrf,First stab at the sphinx documentation,CSRFcross-ssitesrequestsforgery,2025-05-14 22:46:33,airflow_security_analysis
commit-fb7366c6c837b50d614283861d54f2747e984617,setup.py,CWE-352,48480f2351db1a9f5684fff4c3dbc5a95510f07f,Merge pull request #611 from bolkedebruin/csrf,Safer; but still loosely pinned dependencies in setup.py,CSRFcross-ssitesrequestsforgery,2025-05-14 22:46:33,airflow_security_analysis
commit-f45236c6dd8b18af32472a7327784b43cc7c12f8,setup.py,CWE-352,1b52c50740b8f4312c55cc736d7c22b62865e722,Add csrf,An operator to post messages to a Slack Channel,CSRFcross-ssitesrequestsforgery,2025-05-14 22:46:34,airflow_security_analysis
commit-fd65b9f32ef0aab74fc8ad9631fecccf0b843bf6,js/src/scrollspy.js,CWE-79,cc61edfa8af7b5ec9d4888c59bf94377e499b78b,fix(scrollspy): xss in target option,some minor alert shit,XSScross-ssitesscripting,2025-05-14 20:03:32,bootstrap_security_analysis
commit-f8b2569ec8956a1f4d09fe6fc9865bd200ecde43,js/src/collapse.js,CWE-79,149096016f70fd815540d62c0989fd99cdc809e0,fix(collapse): xss in parent option,implement global dispose method,XSScross-ssitesscripting,2025-05-14 20:03:33,bootstrap_security_analysis
commit-fc8b85b62670b8396cac7fb821c025c58fa77a78,js/src/tooltip.js,CWE-79,2d90d369bbc2bd2647620246c55cec8c4705e3d0,fix(tooltip): xss in container option,Fix some css for the arrow of Popover/Tooltip + update documentation,XSScross-ssitesscripting,2025-05-14 20:03:34,bootstrap_security_analysis
commit-f2f2e39a45039658c3ed7a39af834ca8dd802bdc,js/src/util.js,CWE-79,bcad4bcb5f5a9ef079b2883a48a698b35261e083,Fix XSS in data-target,Fix getSelectorFromElement when # is a selector (#21615) * Fix getSelectorFromElement when # is a selector * Thanks to @vanduynslagerp remove regex to validate selector,XSScross-ssitesscripting,2025-05-14 20:03:35,bootstrap_security_analysis
commit-4eaeea81fd909e6711f57049fc4372f4045fa5aa,docs/assets/js/bootstrap-tooltip.js,CWE-79,003fcccceb869ac0420d542bac9860f5f32e68a1,change tooltip/popover html default to false for xss safety net,rebuild and fix test,XSScross-ssitesscripting,2025-05-14 20:04:28,bootstrap_security_analysis
commit-ffb4d9025b7ef3c198558cc71ca3d30cf8c99a1c,docs/assets/js/bootstrap.js,CWE-79,003fcccceb869ac0420d542bac9860f5f32e68a1,change tooltip/popover html default to false for xss safety net,rebuild with typeahead change,XSScross-ssitesscripting,2025-05-14 20:04:29,bootstrap_security_analysis
commit-e9a7d26d0636445fb20def22db54fe703164031b,js/bootstrap-tooltip.js,CWE-79,003fcccceb869ac0420d542bac9860f5f32e68a1,change tooltip/popover html default to false for xss safety net,Cancel running timer for tooltips with delayed show; but instant hide. This prevents delayed tooltips from appearing if the mouse leaves the elements before tooltip is showed and the hiding delay is 0.,XSScross-ssitesscripting,2025-05-14 20:04:30,bootstrap_security_analysis
commit-6f2f947a4309a8fdeb7067612447c0f1a15dcfd9,js/tests/unit/bootstrap-tooltip.js,CWE-79,003fcccceb869ac0420d542bac9860f5f32e68a1,change tooltip/popover html default to false for xss safety net,add build tool for js +  rename twipsy to tooltip + lots of little doc cleanup,XSScross-ssitesscripting,2025-05-14 20:04:31,bootstrap_security_analysis
commit-390a9af936ce6350bec2660b579e3dcab5918fdb,docs/assets/js/bootstrap-tooltip.js,CWE-79,f836473129819c2e348f821ed268451b9b8bf2e4,add html option back to tooltip and popover to explicitly prevent XSS #3421,move js stuff into assets,XSScross-ssitesscripting,2025-05-14 20:04:38,bootstrap_security_analysis
commit-6a9f169fd6cd2203dee3f6230cc78f5dbbeafdab,js/bootstrap-popover.js,CWE-79,f836473129819c2e348f821ed268451b9b8bf2e4,add html option back to tooltip and popover to explicitly prevent XSS #3421,Make the popove respect custom classes,XSScross-ssitesscripting,2025-05-14 20:04:41,bootstrap_security_analysis
commit-f07bcafd397dd39c5490e192ab7b52c49acd3d9b,js/bootstrap-tooltip.js,CWE-79,f836473129819c2e348f821ed268451b9b8bf2e4,add html option back to tooltip and popover to explicitly prevent XSS #3421,Make twipsy respect custom classes when using a custom template If you had a custom class to the root object twipsy would overwrite that class ($tip[0].className = 'twipsy'); now this has been changed so it removes only classes that twipsy adds.,XSScross-ssitesscripting,2025-05-14 20:04:41,bootstrap_security_analysis
commit-8fba154e870a5293f43cc6500923b463afbfdf38,t/unit/backends/test_elasticsearch.py,CWE-362,ada19d215fd1289ad8a22eb44b1ac3afe9787d46,Avoid race condition in elasticsearch backend,elasticsearch: Fix serializing keys (#3924) * elasticsearch: Fix serializing keys elasticsearch requires keys to be a string; not bytes; so make sure we convert the key to a string * Address code review. * Added a testcase that ensures byte keys are converted to strings. * Fix. * Use bytes_to_str instead of string for 2/3 compatibility * Update unit test for bytes_to_str * Remove five.string reference * Correctly convert sentinel.task_id * Convert sentinel object to bytes/str,racescondition,2025-05-14 21:53:57,celery_security_analysis
commit-b4a32539fdb94f2a1cd9af7fd64e86b1e22d86a4,extra/centos/celeryd,CWE-362,e99172d82ff65b69a1d48d3e27090c6bd7e1d4c7,Default log format is now includes %I to avoid race conditions (one logfile per child process),better (and prettier) use of service functions,racescondition,2025-05-14 21:54:14,celery_security_analysis
commit-ed0707dac5dc54ddc57a9c5dbf3e6b46af3b4a1f,extra/generic-init.d/celeryd,CWE-362,e99172d82ff65b69a1d48d3e27090c6bd7e1d4c7,Default log format is now includes %I to avoid race conditions (one logfile per child process),conitrib/generic-init.d: Tried and tested,racescondition,2025-05-14 21:54:14,celery_security_analysis
commit-630c8fbbcc67ee805536363be6e3a58af54e2d2f,extra/systemd/celery.conf,CWE-362,e99172d82ff65b69a1d48d3e27090c6bd7e1d4c7,Default log format is now includes %I to avoid race conditions (one logfile per child process),Add files for demonize celery via systemd.,racescondition,2025-05-14 21:54:14,celery_security_analysis
commit-713be8313f5e877c563e264f5424a24e960eaa57,celery/worker/hub.py,CWE-362,2b30a673f288dfdb249be065aa3dc8c92e4e0985,Fixes race conditions,fixes bug in Hub.repr_active,racescondition,2025-05-14 21:54:22,celery_security_analysis
commit-fb4ab44b7b90bbaa3d1a7aa5e3e52c3417f80239,celery/app/amqp.py,CWE-664,f5c1364c8cff38e18e3a10e431215af31b1d03ff,Fixes bug that causes priority to not be set for messages.,"apply_async: Added the ability to retry publishing the task message in the event of connection loss or failure. **New settings** * `CELERY_TASK_PUBLISH_RETRY`     Decides if publishing task messages will be retried in the case     of connection loss or other connection errors.     Not enabled by default. * `CELERY_TASK_PUBLISH_RETRY_POLICY`     Defines the default policy when retrying publishing a task message in     the case of connection loss or other connection errors.     This is a mapping that must contain the following keys:     * `max_retries`         Maximum number of retries before giving up; in this case the         exception that caused the retry to fail will be raised.         A value of 0 or :const:`None` means it will retry forever.         The default is to retry 3 times.     * `interval_start`         Defines the number of seconds (float or integer) to wait between         retries.  Default is 0; which means the first retry will be         instantaneous.     * `interval_step`         On each consecutive retry this number will be added to the retry         delay (float or integer).  Default is 0.2.     * `interval_max`         Maximum number of seconds (float or integer) to wait between         retries.  Default is 0.2. With the default policy of::     {""max_retries"": 3;      ""interval_start"": 0;      ""interval_step"": 0.2;      ""interval_max"": 0.2} the maximum time spent retrying will be 0.4 seconds.  It is set relatively short by default because a connection failure could lead to a retry pile effect if the broker connection is down: e.g. many web server processes waiting to retry blocking other incoming requests.",,2025-05-14 21:54:31,celery_security_analysis
