vulnerability_id,file_path,cwe_id,fix_commit_hash,original_commit_hash,vulnerability_type,evaluation_result,evaluation_details,detected_line_numbers,created_at,repository,source_tool
commit-bd2f156bc842f201c736709dae65d04f08573bae,airflow/providers/amazon/aws/triggers/batch.py,CWE-502,75ed3bc3f80ac03c301535f38544a4923ee6d43f,bd2f156bc842f201c736709dae65d04f08573bae,deserialization,FN,Missed vulnerability: CWE CWE-502,,2025-05-14 22:48:28,airflow_security_analysis,gpt-4
commit-cbe7955d7e0dd352829f71e762026f4044a05a7d,airflow/www_rbac/webpack.config.js,CWE-494,27bab21f0dabbb08c7ea5d9021fae0513cc4902d,cbe7955d7e0dd352829f71e762026f4044a05a7d,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-494, expected CWE-352","[64,64]",2025-05-14 22:48:40,airflow_security_analysis,gpt-4
commit-d760a5c76fdf3e75ccee8378bedd70c1a3e355be,airflow/www/templates/airflow/task_instance.html,CWE-79,48480f2351db1a9f5684fff4c3dbc5a95510f07f,d760a5c76fdf3e75ccee8378bedd70c1a3e355be,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-79, expected CWE-352",[10],2025-05-14 22:48:47,airflow_security_analysis,gpt-4
commit-d8889da29ccfcbecd2c89b9e8e278c480767d678,airflow/config_templates/default_test.cfg,CWE-259,542cfdc270aeb9b05ad150df28bc48b0a84c0f38,d8889da29ccfcbecd2c89b9e8e278c480767d678,deserialization,FP,"False positive: AI reported CWE-259, expected CWE-502","[74,74]",2025-05-14 22:49:03,airflow_security_analysis,gpt-4
commit-da9d0863c7ff121c111a455708163b026943bdf1,tests/www/views/test_session.py,CWE-352,14deaa2f1fb8d5dbe4d2e1d9adaa390c5e5efbf8,da9d0863c7ff121c111a455708163b026943bdf1,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 22:49:06,airflow_security_analysis,gpt-4
commit-e86dd7212aa8e588ac43f2110f9e829fbf0ef802,airflow/www/templates/airflow/graph.html,CWE-352,48480f2351db1a9f5684fff4c3dbc5a95510f07f,e86dd7212aa8e588ac43f2110f9e829fbf0ef802,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),[38],2025-05-14 22:49:20,airflow_security_analysis,gpt-4
commit-e8c1144bb86e9a1f8b0195375185e9418f23f0c5,airflow/executors/base_executor.py,CWE-798,8f15661001706e5bd76a7134c4c8ece06ad83a63,e8c1144bb86e9a1f8b0195375185e9418f23f0c5,racescondition,FP,"False positive: AI reported CWE-798, expected CWE-362",[6],2025-05-14 22:49:28,airflow_security_analysis,gpt-4
commit-e9ab9d6a92256a42607c12630fe89368f3316b1c,airflow/www/decorators.py,CWE-311,7431867ac0525434e3c537e9514a33b4fa00a6be,e9ab9d6a92256a42607c12630fe89368f3316b1c,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-311, expected CWE-352","[37,39]",2025-05-14 22:49:46,airflow_security_analysis,gpt-4
commit-edd6cf51192a32978963f730eb50fc5372d1f221,airflow/www/templates/airflow/gantt.html,CWE-79,48480f2351db1a9f5684fff4c3dbc5a95510f07f,edd6cf51192a32978963f730eb50fc5372d1f221,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-79, expected CWE-352",[17],2025-05-14 22:49:54,airflow_security_analysis,gpt-4
commit-edf033be65b575f44aa221d5d0ec9ecb6b32c67a,tests/operators/latest_only_operator.py,CWE-362,eb705fd55c30cea778282140d927f51b4a649c73,edf033be65b575f44aa221d5d0ec9ecb6b32c67a,racescondition,FN,Missed vulnerability: CWE CWE-362,,2025-05-14 22:49:55,airflow_security_analysis,gpt-4
commit-ee98513f5a7a29edeb7d2f0cecbfe98097107a77,airflow/www/views.py,CWE-79,a27bd620d97950773c7732908eb3c597315fdd0e,ee98513f5a7a29edeb7d2f0cecbfe98097107a77,deserialization,FP,"False positive: AI reported CWE-79, expected CWE-502","[123,125]",2025-05-14 22:50:11,airflow_security_analysis,gpt-4
commit-f0727b379e6c954a48d4c0b52b0539cf57bffb3f,airflow/config_templates/default_webserver_config.py,CWE-259,543e9a592e6b9dc81467c55169725e192fe95e89,f0727b379e6c954a48d4c0b52b0539cf57bffb3f,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-259, expected CWE-352","[53,53]",2025-05-14 22:50:20,airflow_security_analysis,gpt-4
commit-f360414774f1ecb2e0f4e53ebdd623c7435f9a78,airflow/www/templates/airflow/dag.html,CWE-79,6aca2c2d395952341ab1b201c59011920b5a5c77,f360414774f1ecb2e0f4e53ebdd623c7435f9a78,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-79, expected CWE-352","[1,143]",2025-05-14 22:50:28,airflow_security_analysis,gpt-4
commit-f45236c6dd8b18af32472a7327784b43cc7c12f8,setup.py,CWE-829,1b52c50740b8f4312c55cc736d7c22b62865e722,f45236c6dd8b18af32472a7327784b43cc7c12f8,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-829, expected CWE-352","[5,32]",2025-05-14 22:50:36,airflow_security_analysis,gpt-4
commit-f6734b3b850d33d3712763f93c114e80f5af9ffb,docs/spelling_wordlist.txt,CWE-502,1623df8721105f7f8d219741b066b277d8c43cf0,f6734b3b850d33d3712763f93c114e80f5af9ffb,deserialization,FN,Missed vulnerability: CWE CWE-502,,2025-05-14 22:50:39,airflow_security_analysis,gpt-4
commit-f69aa14a021a6160ecdb75678fd40cf00a404525,airflow/task/task_runner/standard_task_runner.py,CWE-78,f1d4f54b3479cd7549ce79efadd25cc6859dd420,f69aa14a021a6160ecdb75678fd40cf00a404525,racescondition,FP,"False positive: AI reported CWE-78, expected CWE-362","[36,36]",2025-05-14 22:50:50,airflow_security_analysis,gpt-4
commit-f6bda38e20c721df12e0cc88a27119fe320f2a42,tests/system/providers/amazon/aws/example_rds_export.py,CWE-259,5d5482ea2af7d240c5844d5bc48259d3e5088b85,f6bda38e20c721df12e0cc88a27119fe320f2a42,racescondition,FP,"False positive: AI reported CWE-259, expected CWE-362","[47,47]",2025-05-14 22:50:57,airflow_security_analysis,gpt-4
commit-fa1bc879ee0bdcfd8d2ed22cbdc8a114a903486f,airflow/models/dag.py,CWE-362,f1d4f54b3479cd7549ce79efadd25cc6859dd420,fa1bc879ee0bdcfd8d2ed22cbdc8a114a903486f,racescondition,FN,Missed vulnerability: CWE CWE-362,,2025-05-14 22:51:00,airflow_security_analysis,gpt-4
commit-faa8f543d5f7bf7113076dab5f579493ec2860ec,airflow/config_templates/unit_tests.cfg,CWE-259,20cb70b316e4efcd75cc68e98c1ae28e14ade573,faa8f543d5f7bf7113076dab5f579493ec2860ec,deserialization,FP,"False positive: AI reported CWE-259, expected CWE-502","[52,52]",2025-05-14 22:51:16,airflow_security_analysis,gpt-4
commit-fb00c687b69999108a6ac621d603589490edbdda,airflow/jobs/backfill_job.py,CWE-362,f1d4f54b3479cd7549ce79efadd25cc6859dd420,fb00c687b69999108a6ac621d603589490edbdda,racescondition,FN,Missed vulnerability: CWE CWE-362,,2025-05-14 22:51:19,airflow_security_analysis,gpt-4
commit-fb7366c6c837b50d614283861d54f2747e984617,setup.py,CWE-829,48480f2351db1a9f5684fff4c3dbc5a95510f07f,fb7366c6c837b50d614283861d54f2747e984617,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-829, expected CWE-352","[5,36]",2025-05-14 22:51:28,airflow_security_analysis,gpt-4
commit-ff64fe84857a58c4f6e47ec3338b576125c4223f,airflow/api_connexion/openapi/v1.yaml,CWE-502,41e48aaf4dbec24c924a03198b224a0b81c432d4,ff64fe84857a58c4f6e47ec3338b576125c4223f,deserialization,FN,Missed vulnerability: CWE CWE-502,,2025-05-14 22:53:09,airflow_security_analysis,gpt-4
commit-ff990f245eefd24f1a9a16d2b1712103554f870f,airflow/cli/cli_parser.py,CWE-362,f1d4f54b3479cd7549ce79efadd25cc6859dd420,ff990f245eefd24f1a9a16d2b1712103554f870f,racescondition,FN,Missed vulnerability: CWE CWE-362,,2025-05-14 22:53:14,airflow_security_analysis,gpt-4
commit-390a9af936ce6350bec2660b579e3dcab5918fdb,docs/assets/js/bootstrap-tooltip.js,CWE-79,f836473129819c2e348f821ed268451b9b8bf2e4,390a9af936ce6350bec2660b579e3dcab5918fdb,XSScross-ssitesscripting,TP,Correctly detected vulnerability (CWE CWE-79),[117],2025-05-14 20:05:30,bootstrap_security_analysis,gpt-4
commit-4eaeea81fd909e6711f57049fc4372f4045fa5aa,docs/assets/js/bootstrap-tooltip.js,CWE-79,003fcccceb869ac0420d542bac9860f5f32e68a1,4eaeea81fd909e6711f57049fc4372f4045fa5aa,XSScross-ssitesscripting,TP,Correctly detected vulnerability (CWE CWE-79),[117],2025-05-14 20:05:45,bootstrap_security_analysis,gpt-4
commit-6a9f169fd6cd2203dee3f6230cc78f5dbbeafdab,js/bootstrap-popover.js,CWE-79,f836473129819c2e348f821ed268451b9b8bf2e4,6a9f169fd6cd2203dee3f6230cc78f5dbbeafdab,XSScross-ssitesscripting,TP,Correctly detected vulnerability (CWE CWE-79),"[26,26]",2025-05-14 20:05:56,bootstrap_security_analysis,gpt-4
commit-e9a7d26d0636445fb20def22db54fe703164031b,js/bootstrap-tooltip.js,CWE-79,003fcccceb869ac0420d542bac9860f5f32e68a1,e9a7d26d0636445fb20def22db54fe703164031b,XSScross-ssitesscripting,TP,Correctly detected vulnerability (CWE CWE-79),[135],2025-05-14 20:06:04,bootstrap_security_analysis,gpt-4
commit-f2f2e39a45039658c3ed7a39af834ca8dd802bdc,js/src/util.js,CWE-79,bcad4bcb5f5a9ef079b2883a48a698b35261e083,f2f2e39a45039658c3ed7a39af834ca8dd802bdc,XSScross-ssitesscripting,TP,Correctly detected vulnerability (CWE CWE-79),[75],2025-05-14 20:06:22,bootstrap_security_analysis,gpt-4
commit-f8b2569ec8956a1f4d09fe6fc9865bd200ecde43,js/src/collapse.js,CWE-79,149096016f70fd815540d62c0989fd99cdc809e0,f8b2569ec8956a1f4d09fe6fc9865bd200ecde43,XSScross-ssitesscripting,FN,Missed vulnerability: CWE CWE-79,,2025-05-14 20:06:24,bootstrap_security_analysis,gpt-4
commit-fc8b85b62670b8396cac7fb821c025c58fa77a78,js/src/tooltip.js,CWE-79,2d90d369bbc2bd2647620246c55cec8c4705e3d0,fc8b85b62670b8396cac7fb821c025c58fa77a78,XSScross-ssitesscripting,FN,Missed vulnerability: CWE CWE-79,,2025-05-14 20:06:27,bootstrap_security_analysis,gpt-4
commit-fd65b9f32ef0aab74fc8ad9631fecccf0b843bf6,js/src/scrollspy.js,CWE-79,cc61edfa8af7b5ec9d4888c59bf94377e499b78b,fd65b9f32ef0aab74fc8ad9631fecccf0b843bf6,XSScross-ssitesscripting,FN,Missed vulnerability: CWE CWE-79,,2025-05-14 20:06:29,bootstrap_security_analysis,gpt-4
commit-ffb4d9025b7ef3c198558cc71ca3d30cf8c99a1c,docs/assets/js/bootstrap.js,CWE-79,003fcccceb869ac0420d542bac9860f5f32e68a1,ffb4d9025b7ef3c198558cc71ca3d30cf8c99a1c,XSScross-ssitesscripting,FN,Missed vulnerability: CWE CWE-79,,2025-05-14 20:06:32,bootstrap_security_analysis,gpt-4
commit-296e8d10a57b316022592fad08ad918a49979481,celery/backends/amqp.py,CWE-312,5ae8d034e7340afbc705fceff1ceff8cd9d3772b,296e8d10a57b316022592fad08ad918a49979481,racescondition,FP,"False positive: AI reported CWE-312, expected CWE-362",[75],2025-05-14 21:54:51,celery_security_analysis,gpt-4
commit-630c8fbbcc67ee805536363be6e3a58af54e2d2f,extra/systemd/celery.conf,CWE-362,e99172d82ff65b69a1d48d3e27090c6bd7e1d4c7,630c8fbbcc67ee805536363be6e3a58af54e2d2f,racescondition,FN,Missed vulnerability: CWE CWE-362,,2025-05-14 21:54:54,celery_security_analysis,gpt-4
commit-713be8313f5e877c563e264f5424a24e960eaa57,celery/worker/hub.py,CWE-362,2b30a673f288dfdb249be065aa3dc8c92e4e0985,713be8313f5e877c563e264f5424a24e960eaa57,racescondition,TP,Correctly detected vulnerability (CWE CWE-362),"[75,76,85,86,97,98,109,110,121,122]",2025-05-14 21:55:06,celery_security_analysis,gpt-4
commit-7ddbcd7d110ae79849c924dcb44bda05359af041,celery/utils/timer2.py,CWE-388,b34074a5840086dd2a1e04e241fd9b6fabc0a570,7ddbcd7d110ae79849c924dcb44bda05359af041,racescondition,FP,"False positive: AI reported CWE-388, expected CWE-362","[64,64]",2025-05-14 21:55:19,celery_security_analysis,gpt-4
commit-8fba154e870a5293f43cc6500923b463afbfdf38,t/unit/backends/test_elasticsearch.py,CWE-20,ada19d215fd1289ad8a22eb44b1ac3afe9787d46,8fba154e870a5293f43cc6500923b463afbfdf38,racescondition,FP,"False positive: AI reported CWE-20, expected CWE-362","[75,75]",2025-05-14 21:55:34,celery_security_analysis,gpt-4
commit-a65b16d477fdb66ffc5563277355304a5a6010c7,celery/events/snapshot.py,CWE-918,2bdc13385c8a4ef651f74e171420d76e2ac14600,a65b16d477fdb66ffc5563277355304a5a6010c7,racescondition,FP,"False positive: AI reported CWE-918, expected CWE-362","[59,59]",2025-05-14 21:55:44,celery_security_analysis,gpt-4
commit-ab7f041fc741251e36a4bfa51fbf69e62d16dc2f,celery/events/snapshot.py,CWE-89,f6ab508d25ba2c5ac4bd113ed951348c2fd0f765,ab7f041fc741251e36a4bfa51fbf69e62d16dc2f,racescondition,FP,"False positive: AI reported CWE-89, expected CWE-362",[],2025-05-14 21:55:57,celery_security_analysis,gpt-4
commit-fb4ab44b7b90bbaa3d1a7aa5e3e52c3417f80239,celery/app/amqp.py,CWE-798,f5c1364c8cff38e18e3a10e431215af31b1d03ff,fb4ab44b7b90bbaa3d1a7aa5e3e52c3417f80239,,FP,"False positive: AI reported CWE-798, expected CWE-664",[53],2025-05-14 21:56:17,celery_security_analysis,gpt-4
commit-208630aa4b6460cb31cd81be2cc83d4075f1f27b,docs/ref/contrib/csrf.txt,CWE-352,37343bac8a62aa31431e343f25f957a5392863fb,208630aa4b6460cb31cd81be2cc83d4075f1f27b,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:23:13,django_security_analysis,gpt-4
commit-311fadeee016177d6f85d3988ad4bb9dc675349e,django/contrib/formtools/templates/formtools/preview.html,CWE-352,8e70cef9b67433edd70935dcc30c621d1e7fc0a0,311fadeee016177d6f85d3988ad4bb9dc675349e,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[17,25]",2025-05-14 19:23:22,django_security_analysis,gpt-4
commit-3ddf250f91dd3fd03aba235fca3294fdd651bea5,AUTHORS,CWE-352,8e70cef9b67433edd70935dcc30c621d1e7fc0a0,3ddf250f91dd3fd03aba235fca3294fdd651bea5,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:23:23,django_security_analysis,gpt-4
commit-44f3080226888eb709cc6e027321647964ebe64e,django/contrib/admin/sites.py,CWE-352,d7abb33e70cf91c983b997cbeafbea2cd0371762,44f3080226888eb709cc6e027321647964ebe64e,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),[244],2025-05-14 19:23:42,django_security_analysis,gpt-4
commit-528157ce73e4e7d9ee65c362d0cb4013eb17c5f0,docs/topics/security.txt,CWE-352,5112e65ef2df1dbb95ff83026b6a962fb2688661,528157ce73e4e7d9ee65c362d0cb4013eb17c5f0,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[45,45]",2025-05-14 19:24:08,django_security_analysis,gpt-4
commit-53b2c3867b5720b2586f5b63978ca2835e7dfb5d,docs/ref/contrib/csrf.txt,CWE-352,1d350a6c51848edcb24f12a1d1c1add5cd3642fe,53b2c3867b5720b2586f5b63978ca2835e7dfb5d,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:24:12,django_security_analysis,gpt-4
commit-61d6249c2bf6c57684a3b77c6cec8601e7a26b44,django/contrib/formtools/templates/formtools/form.html,CWE-352,8e70cef9b67433edd70935dcc30c621d1e7fc0a0,61d6249c2bf6c57684a3b77c6cec8601e7a26b44,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[7,13]",2025-05-14 19:24:18,django_security_analysis,gpt-4
commit-64331419c848a8b6835b25f2c600d7150f722c96,django/core/checks/security/csrf.py,CWE-352,ba3fb2e4d0aca26f6ea37d7e31488ad09043f89d,64331419c848a8b6835b25f2c600d7150f722c96,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[9,13]",2025-05-14 19:24:31,django_security_analysis,gpt-4
commit-698be78d7438aade49d3cac5ea1f9de219d33e42,django/db/models/sql/query.py,CWE-89,c87bfaacf8fb84984243b5055dc70f97996cb115,698be78d7438aade49d3cac5ea1f9de219d33e42,:SQLNoSQLsinjection,FN,Missed vulnerability: CWE CWE-89,,2025-05-14 19:24:36,django_security_analysis,gpt-4
commit-6a4f13de27e2c46b6e516a01ba77fd4fe03d9dbe,docs/ref/csrf.txt,CWE-352,7a7b82e6f4c34fbfd7a11123986ed74f9f752a48,6a4f13de27e2c46b6e516a01ba77fd4fe03d9dbe,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:24:39,django_security_analysis,gpt-4
commit-70be31bba7f8658f17235e33862319780c3dfad1,tests/csrf_tests/test_context_processor.py,CWE-352,5b09354954348f1a56df32b2d7dbe074a23a4532,70be31bba7f8658f17235e33862319780c3dfad1,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:24:43,django_security_analysis,gpt-4
commit-8cb128e57c08de54e8947a00f0d17fd02bff90df,django/contrib/auth/fixtures/authtestdata.json,CWE-312,656360c24044e06c881baa648f2aad9d671c3bd8,8cb128e57c08de54e8947a00f0d17fd02bff90df,hardcodedspasswordcredential,FP,"False positive: AI reported CWE-312, expected CWE-798","[11,11]",2025-05-14 19:24:50,django_security_analysis,gpt-4
commit-8cbcf1d3a60a0ba1a6f3ddde9317ac07b67c6c5d,django/middleware/csrf.py,CWE-331,720888a14699a80a6cd07d32514b9dcd5b1005fb,8cbcf1d3a60a0ba1a6f3ddde9317ac07b67c6c5d,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-331, expected CWE-352",[34],2025-05-14 19:25:10,django_security_analysis,gpt-4
commit-8ce4a1991a6a6b336a6ca6224c0d808d4b2964c7,docs/topics/testing.txt,CWE-352,4d4d68a2cd8d93ce4bc4280b47051f294b280e73,8ce4a1991a6a6b336a6ca6224c0d808d4b2964c7,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:25:14,django_security_analysis,gpt-4
commit-8eecb95ec8824f8e6ce89fa7a96e094db906a0f5,django/contrib/csrf/middleware.py,CWE-327,c26553c4f91a2a0ac1ca8d173888c414fc9cecda,8eecb95ec8824f8e6ce89fa7a96e094db906a0f5,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-327, expected CWE-352",[14],2025-05-14 19:25:20,django_security_analysis,gpt-4
commit-8eef22dfed2d53df0da10c0090d9cb04f66efb15,django/views/templates/csrf_403.html,CWE-79,c201014e85f321173a018914e148734f29f1e28b,8eef22dfed2d53df0da10c0090d9cb04f66efb15,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-79, expected CWE-352","[1,53]",2025-05-14 19:25:29,django_security_analysis,gpt-4
commit-90ac02300e754bdc1a2658ef21737c28fc522148,django/views/decorators/csrf.py,CWE-352,f9fba51164f36519e9b2f7917296ddd83b86ef47,90ac02300e754bdc1a2658ef21737c28fc522148,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[48,55]",2025-05-14 19:25:45,django_security_analysis,gpt-4
commit-92e8f1f30223d95c0e71ee6ace7bdc476c81abbd,django/template/context_processors.py,CWE-200,8099d33b6553c9ee7de779ae9d191a1bf22adbda,92e8f1f30223d95c0e71ee6ace7bdc476c81abbd,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-200, expected CWE-352","[38,40]",2025-05-14 19:25:58,django_security_analysis,gpt-4
commit-93803a1b5f4a08eb064b4cc8b3834ff323be4065,django/views/csrf.py,CWE-79,535f7b5c6cea54a0796d85bbe213183d50002689,93803a1b5f4a08eb064b4cc8b3834ff323be4065,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-79, expected CWE-352","[1,88]",2025-05-14 19:26:10,django_security_analysis,gpt-4
commit-97c3dfe12e095005dad9e6750ad5c5a54eee8721,docs/releases/1.11.txt,CWE-352,ddf169cdaca91e92dd5bfe6796bb6f38369ecb68,97c3dfe12e095005dad9e6750ad5c5a54eee8721,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 19:26:14,django_security_analysis,gpt-4
commit-97cb07c3a10ff0e584a260a7ee1001614691eb1d,docs/ref/contrib/formtools/form-wizard.txt,CWE-319,8e70cef9b67433edd70935dcc30c621d1e7fc0a0,97cb07c3a10ff0e584a260a7ee1001614691eb1d,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-319, expected CWE-352","[1,100]",2025-05-14 19:26:27,django_security_analysis,gpt-4
commit-9b52f35f35d67d6b4db2206d34320545dc4dd17d,django/contrib/formtools/wizard.py,CWE-502,8e70cef9b67433edd70935dcc30c621d1e7fc0a0,9b52f35f35d67d6b4db2206d34320545dc4dd17d,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-502, expected CWE-352",[115],2025-05-14 19:26:36,django_security_analysis,gpt-4
commit-9baf692a58de78dba13aa582098781675367c329,django/core/checks/security/csrf.py,CWE-352,33e86b3488dbf29f5aeb38cf0ee6597190d33c59,9baf692a58de78dba13aa582098781675367c329,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[6,10]",2025-05-14 19:26:47,django_security_analysis,gpt-4
commit-9ec9936413a906e71ce79d1ce7d26df865891a95,docs/ref/contrib/csrf.txt,CWE-352,be57541af11b7144de700978b9ea3b50f20ffd02,9ec9936413a906e71ce79d1ce7d26df865891a95,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[1,69]",2025-05-14 19:27:03,django_security_analysis,gpt-4
commit-a19ed8aea395e8e07164ff7d85bd7dff2f24edca,django/contrib/admin/templates/admin/auth/user/change_password.html,CWE-79,8e70cef9b67433edd70935dcc30c621d1e7fc0a0,a19ed8aea395e8e07164ff7d85bd7dff2f24edca,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-79, expected CWE-352",[3],2025-05-14 19:27:12,django_security_analysis,gpt-4
commit-a77679dfaa963361b6daad6de0d7de1b53d4f104,django/middleware/csrf.py,CWE-352,668d53cd125175eb708cc0af143f47b42cd42153,a77679dfaa963361b6daad6de0d7de1b53d4f104,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[123,125]",2025-05-14 19:27:28,django_security_analysis,gpt-4
commit-ab661e994bc5b28e320b38b03a15c1cb7c1bb8c1,docs/ref/checks.txt,CWE-79,c5075360c50b6e681fb3e7d58e6e93ae96662f49,ab661e994bc5b28e320b38b03a15c1cb7c1bb8c1,XSScross-ssitesscripting,FN,Missed vulnerability: CWE CWE-79,,2025-05-14 19:27:31,django_security_analysis,gpt-4
commit-af98a0a25e89816007453f3c62f3a4d525ee0405,docs/internals/security.txt,CWE-400,e1cf2a607ef7e1cd8bc3612c93e4e7a9aa9589cc,af98a0a25e89816007453f3c62f3a4d525ee0405,,FN,Missed vulnerability: CWE CWE-400,,2025-05-14 19:27:33,django_security_analysis,gpt-4
